Experiment,Item_type,Stimulus,Condition,Cognate_status,Emotional_valence_cat,Emotional_valence_cont,Length,Lg10SUBTLEX_US,correct_response,,,,,,,,,
LDT,prac,HONEY,word,noncognate,positive,7.27,5,4.185428821,j,,practice items,,,,,,,Notes:
LDT,prac,FLOWER,word,noncognate,positive,7.3,6,3.065206128,j,,,,,,,,,
LDT,prac,GROUND,word,noncognate,neutral,5.28,6,3.567849451,j,,,,,,,,,
LDT,prac,SQUARE,word,noncognate,neutral,5.11,6,3.209783015,j,,,,,,,,,
LDT,prac,LOSS,word,noncognate,negative,2.9,4,3.172018809,j,,,,,,,,,
LDT,prac,CRACK,word,noncognate,negative,2.68,5,3.224274014,j,6,,,,,,,,
LDT,prac,ASSIGH,nonword,noncognate,#N/A,#N/A,6,#N/A,f,,,,,,,,,
LDT,prac,INVALVE,nonword,noncognate,#N/A,#N/A,7,#N/A,f,,,,,,,,,
LDT,prac,VORMIN,nonword,noncognate,#N/A,#N/A,6,#N/A,f,,,,,,,,,
LDT,prac,SLAR,nonword,noncognate,#N/A,#N/A,4,#N/A,f,,,,,,,,,
LDT,prac,DILIGHT,nonword,noncognate,#N/A,#N/A,7,#N/A,f,,,,,,,,,
LDT,prac,GERL,nonword,noncognate,#N/A,#N/A,4,#N/A,f,6,,,,,,,,
,,,,,,,,,,,experiment items,,,,,,,
LDT,exp,BEAUTY,word,noncognate,positive,7.58,6,3.391111614,j,,words,,,,,,,
LDT,exp,CARE,word,noncognate,positive,7.64,4,4.393557656,j,,,,,,,,,
LDT,exp,COUPLE,word,noncognate,positive,7.11,6,4.05671433,j,,,,,,,,,
LDT,exp,CURE,word,noncognate,positive,7.81,4,3.026941628,j,,,,,,,,,
LDT,exp,DESIRE,word,noncognate,positive,7.05,6,3.01494035,j,,,,,,,,,
LDT,exp,FORTUNE,word,noncognate,positive,7.24,7,3.181557774,j,,,,,,,,,
LDT,exp,FUN,word,noncognate,positive,8.37,3,4.079579167,j,,,,,,,,,
LDT,exp,HERO,word,noncognate,positive,7.44,4,3.40534636,j,,,,,,,,,
LDT,exp,HOLIDAY,word,noncognate,positive,7.18,7,3.036229544,j,,,,,,,,,
LDT,exp,HOME,word,noncognate,positive,7.48,4,4.596509128,j,,,,,,,,,
LDT,exp,HONESTY,word,noncognate,positive,7.43,7,2.567026366,j,,,,,,,,,
